method,n,mae,rmse,mare,r2,r
RF,41,252.0951219512195,370.01554186211183,23.720168932904482,0.6559412906359401,0.8396610339860997
ANN,41,254.67560975609754,399.8958562596749,22.89360033542224,0.5981292185748579,0.7833245016003865
